AREA,Vict Age,Vict Descent,Crm Cd,Premis Cd,Status,dayofweek,day,month,Vict_Sex_F,Vict_Sex_M,Vict_Sex_X
20,58,17,210,101,4,4,20,5,1,0,0
4,51,7,230,502,1,1,21,6,1,0,0
2,60,2,626,102,2,4,16,9,1,0,0
6,21,17,330,108,4,4,18,2,1,0,0
1,22,7,330,101,4,0,18,7,1,0,0
10,27,7,745,122,4,3,25,8,0,1,0
16,58,7,341,402,4,5,4,6,1,0,0
13,27,2,354,602,4,5,3,9,1,0,0
7,31,17,341,501,4,0,20,6,1,0,0
21,59,10,330,101,4,3,3,2,1,0,0
17,25,7,310,221,4,1,28,6,1,0,0
6,26,7,624,108,4,5,16,7,0,1,0
11,54,7,740,101,4,2,7,9,1,0,0
20,25,1,310,501,4,4,13,5,1,0,0
20,29,7,230,102,4,3,21,4,1,0,0
17,74,7,230,501,1,2,25,5,1,0,0
2,27,17,230,907,4,2,10,8,1,0,0
19,39,7,330,101,4,0,7,2,1,0,0
11,45,17,940,501,4,4,9,9,0,1,0
3,41,18,740,122,4,2,23,11,1,0,0
4,55,7,331,101,4,2,6,7,0,1,0
19,52,7,331,101,4,6,14,8,1,0,0
3,68,2,310,501,1,4,9,9,1,0,0
9,62,17,331,504,4,3,24,3,1,0,0
13,11,7,624,102,4,6,4,12,1,0,0
21,86,17,440,501,4,4,29,4,1,0,0
15,64,17,331,501,4,5,15,1,0,1,0
9,62,12,330,502,4,0,21,3,0,1,0
20,52,17,354,502,4,5,9,4,1,0,0
7,42,17,740,203,4,5,16,4,0,1,0
11,43,12,354,501,4,1,30,8,1,0,0
10,35,7,236,101,2,6,14,8,1,0,0
2,22,7,624,502,1,2,22,6,0,1,0
10,56,2,354,501,4,1,10,5,0,1,0
8,25,17,310,502,4,2,9,2,1,0,0
3,21,18,740,101,1,1,19,7,0,0,1
6,21,2,626,502,1,6,27,3,1,0,0
21,20,18,442,404,1,1,21,6,0,1,0
10,31,7,354,502,4,4,2,12,1,0,0
2,24,7,354,406,4,5,3,9,1,0,0
8,58,17,420,101,4,5,8,10,0,1,0
21,65,17,624,101,4,0,30,5,0,1,0
3,21,18,310,210,4,0,14,11,0,0,1
20,18,7,480,108,4,6,9,1,0,1,0
20,35,2,354,605,4,5,1,1,0,1,0
9,40,7,210,103,1,0,14,3,0,1,0
19,25,7,626,501,1,5,14,5,1,0,0
4,60,17,440,102,4,6,13,11,0,1,0
2,31,7,230,102,4,4,4,2,0,1,0
14,42,17,354,501,4,6,10,7,0,1,0
1,59,12,452,917,4,0,4,4,1,0,0
20,46,2,330,123,4,4,11,3,1,0,0
15,41,7,230,707,1,6,27,2,0,1,0
1,59,7,210,102,4,2,15,6,0,1,0
15,20,17,354,301,4,6,6,11,1,0,0
15,49,12,354,501,4,3,27,1,0,1,0
8,21,7,330,109,4,2,18,5,0,1,0
17,38,17,440,501,4,1,2,8,1,0,0
10,32,17,354,501,4,4,3,6,1,0,0
7,62,17,354,501,4,0,5,9,1,0,0
1,24,7,442,405,4,3,22,9,0,1,0
3,31,7,888,502,4,5,9,4,0,1,0
3,19,12,350,108,4,6,6,11,1,0,0
19,9,7,237,101,1,0,8,8,1,0,0
6,27,17,440,502,4,1,23,8,0,1,0
16,29,7,902,501,4,0,28,11,1,0,0
19,32,7,901,502,2,3,17,3,1,0,0
6,26,5,330,108,4,2,28,9,1,0,0
9,70,7,901,101,4,4,9,12,0,1,0
11,34,7,956,750,2,4,4,11,1,0,0
20,18,7,626,102,4,0,11,7,1,0,0
1,46,2,442,404,4,1,7,6,0,1,0
21,24,17,230,502,1,4,18,11,1,0,0
20,51,7,762,502,4,6,27,11,1,0,0
10,73,7,354,501,4,3,1,12,0,1,0
1,31,2,330,108,4,4,5,8,0,1,0
21,58,17,354,501,4,1,26,4,0,1,0
20,27,12,740,108,4,2,17,8,1,0,0
10,73,7,761,501,2,0,24,1,1,0,0
1,27,7,310,405,1,4,7,10,0,1,0
13,38,7,331,101,4,2,14,9,0,1,0
